candidate_id,age_group,years_experience,education_level,current_location,willing_to_relocate,preferred_work_model
CAN00215,30-39,0,Bachelor,Cologne,False,Hybrid
CAN00216,30-39,11,Bachelor,Berlin,False,Hybrid
CAN00217,30-39,6,Master,Berlin,False,Remote
CAN00218,30-39,2,Vocational training,Cologne,False,Remote
CAN00219,40-49,6,Bachelor,Other Germany,False,Hybrid
CAN00220,30-39,2,Bachelor,Munich,False,Remote
CAN00221,40-49,7,Vocational training,Munich,True,Hybrid
CAN00222,40-49,4,Vocational training,Frankfurt,False,Hybrid
CAN00223,40-49,3,Bachelor,Other Germany,False,Remote
CAN00224,20-29,1,Vocational training,Frankfurt,True,Hybrid
CAN00225,30-39,3,Bachelor,Frankfurt,False,Remote
CAN00226,40-49,1,Bachelor,Cologne,True,Hybrid
CAN00227,20-29,2,Bachelor,Frankfurt,False,Remote
CAN00228,30-39,2,Vocational training,Cologne,True,Remote
CAN00229,30-39,2,Master,Berlin,False,Hybrid
CAN00230,50+,15,Other,Cologne,False,Hybrid
CAN00231,20-29,2,Vocational training,Berlin,True,Hybrid
CAN00232,40-49,6,Bachelor,Other Germany,True,Hybrid
CAN00233,20-29,5,Master,Cologne,False,Hybrid
CAN00234,30-39,1,Bachelor,Other Germany,False,Hybrid
CAN00235,30-39,12,Bachelor,Other Germany,False,Hybrid
CAN00236,20-29,2,Vocational training,Berlin,True,Hybrid
CAN00237,30-39,6,Bachelor,Munich,False,Hybrid
CAN00238,20-29,10,Bachelor,Other Germany,False,On-site
CAN00239,20-29,2,Bachelor,Cologne,True,Hybrid
CAN00240,30-39,4,Bachelor,Other Germany,False,No preference
CAN00241,20-29,3,Bachelor,Frankfurt,True,Remote
CAN00242,20-29,5,Bachelor,Frankfurt,False,Hybrid
CAN00243,40-49,3,Bachelor,Berlin,False,Remote
CAN00244,40-49,5,Vocational training,Outside Germany,False,Hybrid
CAN00245,20-29,7,Bachelor,Cologne,False,Hybrid
CAN00246,30-39,6,Bachelor,Outside Germany,False,Hybrid
CAN00247,20-29,8,Vocational training,Frankfurt,True,Hybrid
CAN00248,20-29,2,Master,Munich,False,Remote
CAN00249,40-49,4,Master,Frankfurt,False,No preference
CAN00250,20-29,4,Master,Munich,False,Hybrid
CAN00251,20-29,4,Bachelor,Other Germany,False,On-site
CAN00252,50+,16,Vocational training,Outside Germany,False,No preference
CAN00253,40-49,8,Bachelor,Cologne,False,On-site
CAN00254,50+,17,Master,Frankfurt,True,Remote
CAN00255,20-29,3,Vocational training,Other Germany,False,No preference
CAN00256,50+,17,Master,Other Germany,False,No preference
CAN00257,20-29,4,Master,Hamburg,True,Hybrid
CAN00258,40-49,20,Vocational training,Hamburg,False,On-site
CAN00259,30-39,8,Bachelor,Other Germany,False,Hybrid
CAN00260,40-49,8,Vocational training,Hamburg,False,Hybrid
CAN00261,20-29,10,Master,Berlin,False,No preference
CAN00262,40-49,9,Master,Berlin,True,Hybrid
CAN00263,40-49,9,Master,Munich,True,Hybrid
CAN00264,20-29,4,Bachelor,Munich,False,Hybrid
CAN00265,40-49,8,Bachelor,Other Germany,False,Remote
CAN00266,40-49,12,Doctorate,Munich,False,No preference
CAN00267,30-39,2,Vocational training,Frankfurt,True,Remote
CAN00268,20-29,0,Vocational training,Berlin,True,Hybrid
CAN00269,30-39,3,Vocational training,Frankfurt,False,Remote
CAN00270,40-49,2,Bachelor,Frankfurt,True,Remote
CAN00271,40-49,9,Vocational training,Frankfurt,False,No preference
CAN00272,40-49,5,Master,Hamburg,True,Hybrid
CAN00273,30-39,9,Vocational training,Other Germany,False,Hybrid
CAN00274,50+,13,Master,Berlin,False,Hybrid
CAN00275,40-49,7,Master,Berlin,True,Hybrid
CAN00276,30-39,11,Bachelor,Berlin,False,Hybrid
CAN00277,40-49,13,Bachelor,Other Germany,False,On-site
CAN00278,50+,10,Bachelor,Berlin,True,Hybrid
CAN00279,20-29,6,Vocational training,Other Germany,False,Remote
CAN00280,40-49,4,Master,Frankfurt,False,On-site
CAN00281,20-29,5,Master,Berlin,False,Hybrid
CAN00282,40-49,6,Vocational training,Berlin,False,No preference
CAN00283,30-39,8,Vocational training,Other Germany,True,No preference
CAN00284,40-49,5,Vocational training,Frankfurt,False,No preference
CAN00285,40-49,13,Bachelor,Munich,False,No preference
CAN00286,30-39,9,Master,Other Germany,False,Remote
CAN00287,50+,13,Master,Berlin,False,Hybrid
CAN00288,30-39,9,Bachelor,Frankfurt,True,Hybrid
CAN00289,40-49,3,Vocational training,Berlin,False,Hybrid
CAN00290,40-49,2,Vocational training,Cologne,False,On-site
CAN00291,20-29,6,Other,Other Germany,True,Remote
CAN00292,20-29,4,Bachelor,Hamburg,False,Hybrid
CAN00293,20-29,3,Master,Frankfurt,False,Hybrid
CAN00294,40-49,7,Master,Hamburg,True,Hybrid
CAN00295,30-39,2,Vocational training,Hamburg,False,Hybrid
CAN00296,20-29,7,Other,Berlin,True,On-site
CAN00297,30-39,12,Vocational training,Munich,False,Remote
CAN00298,40-49,2,Bachelor,Outside Germany,True,Hybrid
CAN00299,30-39,12,Bachelor,Berlin,False,Hybrid
CAN00300,30-39,2,Vocational training,Frankfurt,False,Hybrid
CAN00301,30-39,6,Bachelor,Hamburg,True,Hybrid
CAN00302,20-29,9,Vocational training,Other Germany,False,Hybrid
CAN00303,40-49,1,Bachelor,Hamburg,True,Hybrid
CAN00304,30-39,8,Vocational training,Outside Germany,False,Hybrid
CAN00305,40-49,10,Vocational training,Munich,True,Remote
CAN00306,40-49,14,Master,Other Germany,True,Hybrid
CAN00307,30-39,4,Vocational training,Other Germany,False,Remote
CAN00308,30-39,5,Bachelor,Hamburg,True,Hybrid
CAN00309,30-39,4,Bachelor,Frankfurt,False,On-site
CAN00310,30-39,11,Vocational training,Hamburg,True,On-site
CAN00311,30-39,7,Bachelor,Outside Germany,False,Hybrid
CAN00312,20-29,2,Vocational training,Berlin,False,Hybrid
CAN00313,40-49,3,Vocational training,Other Germany,True,Hybrid
CAN00314,40-49,9,Bachelor,Other Germany,True,No preference
CAN00315,30-39,1,Doctorate,Other Germany,False,No preference
CAN00316,20-29,3,Master,Other Germany,True,Remote
CAN00317,30-39,9,Vocational training,Munich,False,No preference
CAN00318,50+,15,Vocational training,Munich,False,Hybrid
CAN00319,30-39,4,Other,Munich,True,Remote
CAN00320,40-49,12,Vocational training,Cologne,True,On-site
CAN00321,20-29,5,Vocational training,Hamburg,False,Hybrid
CAN00322,30-39,5,Vocational training,Other Germany,False,Hybrid
CAN00323,40-49,4,Vocational training,Cologne,True,No preference
CAN00324,30-39,10,Bachelor,Cologne,False,No preference
CAN00325,20-29,1,Vocational training,Berlin,False,Hybrid
CAN00326,30-39,1,Bachelor,Other Germany,False,Hybrid
CAN00327,20-29,2,Bachelor,Berlin,True,Hybrid
CAN00328,40-49,5,Vocational training,Munich,False,On-site
CAN00329,50+,23,Bachelor,Other Germany,False,Hybrid
CAN00330,40-49,3,Master,Frankfurt,False,No preference
CAN00331,30-39,10,Vocational training,Cologne,False,Remote
CAN00332,50+,15,Bachelor,Hamburg,False,Remote
CAN00333,30-39,6,Bachelor,Other Germany,True,Remote
CAN00334,30-39,5,Vocational training,Berlin,False,Remote
CAN00335,20-29,1,Vocational training,Frankfurt,False,Hybrid
CAN00336,30-39,12,Bachelor,Munich,True,Hybrid
CAN00337,40-49,8,Vocational training,Frankfurt,False,Hybrid
CAN00338,30-39,3,Bachelor,Munich,True,No preference
CAN00339,50+,14,Other,Frankfurt,False,Hybrid
CAN00340,20-29,6,Bachelor,Frankfurt,True,Hybrid
CAN00341,30-39,8,Vocational training,Other Germany,True,Hybrid
CAN00342,40-49,8,Bachelor,Other Germany,True,Remote
CAN00343,30-39,4,Bachelor,Hamburg,True,Remote
CAN00344,30-39,8,Bachelor,Berlin,False,Hybrid
CAN00345,30-39,5,Bachelor,Hamburg,False,Hybrid
CAN00346,40-49,13,Vocational training,Other Germany,True,Hybrid
CAN00347,20-29,1,Master,Other Germany,False,Hybrid
CAN00348,30-39,0,Vocational training,Frankfurt,True,Hybrid
CAN00349,40-49,16,Vocational training,Frankfurt,True,On-site
CAN00350,20-29,7,Vocational training,Berlin,False,On-site
CAN00351,40-49,3,Bachelor,Berlin,False,No preference
CAN00352,20-29,1,Bachelor,Frankfurt,False,Remote
CAN00353,30-39,3,Vocational training,Berlin,True,Hybrid
CAN00354,30-39,3,Vocational training,Hamburg,True,Hybrid
CAN00355,40-49,7,Bachelor,Frankfurt,False,Hybrid
CAN00356,30-39,3,Bachelor,Frankfurt,False,No preference
CAN00357,50+,20,Bachelor,Munich,False,Remote
CAN00358,40-49,6,Master,Frankfurt,True,Hybrid
CAN00359,30-39,6,Vocational training,Other Germany,False,Remote
CAN00360,30-39,5,Bachelor,Frankfurt,False,Remote
CAN00361,20-29,3,Master,Frankfurt,False,Hybrid
CAN00362,30-39,4,Bachelor,Munich,False,Hybrid
CAN00363,20-29,4,Vocational training,Munich,False,No preference
CAN00364,40-49,3,Vocational training,Other Germany,False,Hybrid
CAN00365,30-39,1,Vocational training,Hamburg,False,Remote
CAN00366,50+,11,Vocational training,Other Germany,False,Remote
CAN00367,30-39,2,Vocational training,Other Germany,False,On-site
CAN00368,30-39,4,Other,Frankfurt,False,Remote
CAN00369,20-29,6,Other,Other Germany,False,Hybrid
CAN00370,30-39,6,Master,Frankfurt,False,Remote
CAN00371,30-39,1,Bachelor,Other Germany,False,On-site
CAN00372,30-39,3,Vocational training,Berlin,False,Remote
CAN00373,20-29,2,Bachelor,Hamburg,False,On-site
CAN00374,40-49,13,Vocational training,Cologne,False,Hybrid
CAN00375,40-49,5,Vocational training,Berlin,False,Remote
CAN00376,20-29,2,Vocational training,Other Germany,False,Hybrid
CAN00377,50+,23,Master,Hamburg,False,Remote
CAN00378,40-49,5,Bachelor,Berlin,False,Hybrid
CAN00379,20-29,4,Bachelor,Munich,False,Hybrid
CAN00380,30-39,6,Master,Berlin,True,On-site
CAN00381,30-39,5,Vocational training,Other Germany,False,Hybrid
CAN00382,40-49,7,Bachelor,Hamburg,False,Remote
CAN00383,30-39,0,Vocational training,Other Germany,False,Remote
CAN00384,50+,17,Bachelor,Other Germany,False,Remote
CAN00385,40-49,7,Bachelor,Munich,False,Hybrid
CAN00386,40-49,9,Other,Hamburg,True,Hybrid
CAN00387,40-49,3,Vocational training,Hamburg,False,Hybrid
CAN00388,40-49,6,Vocational training,Berlin,True,No preference
CAN00389,30-39,10,Vocational training,Frankfurt,True,Hybrid
CAN00390,30-39,5,Bachelor,Berlin,True,No preference
CAN00391,30-39,6,Master,Munich,True,Hybrid
CAN00392,20-29,5,Master,Hamburg,True,No preference
CAN00393,30-39,7,Vocational training,Berlin,True,Hybrid
CAN00394,40-49,6,Vocational training,Frankfurt,False,Hybrid
CAN00395,20-29,3,Bachelor,Hamburg,False,No preference
CAN00396,30-39,8,Bachelor,Frankfurt,False,Hybrid
CAN00397,30-39,5,Bachelor,Other Germany,True,Hybrid
CAN00398,20-29,1,Master,Berlin,True,Remote
CAN00399,20-29,0,Vocational training,Hamburg,True,On-site
CAN00400,40-49,12,Master,Outside Germany,True,Hybrid
CAN00401,30-39,13,Bachelor,Hamburg,True,Hybrid
CAN00402,30-39,1,Vocational training,Frankfurt,True,Remote
CAN00403,20-29,3,Vocational training,Frankfurt,False,Hybrid
CAN00404,40-49,6,Vocational training,Hamburg,False,Hybrid
CAN00405,20-29,1,Vocational training,Other Germany,False,Remote
CAN00406,20-29,0,Vocational training,Other Germany,False,Remote
CAN00407,40-49,7,Other,Frankfurt,True,Hybrid
CAN00408,40-49,7,Master,Munich,False,Hybrid
CAN00409,40-49,14,Bachelor,Frankfurt,False,Hybrid
CAN00410,20-29,5,Vocational training,Other Germany,True,Hybrid
CAN00411,30-39,3,Other,Frankfurt,False,No preference
CAN00412,40-49,13,Other,Cologne,True,On-site
CAN00413,40-49,6,Other,Frankfurt,False,Hybrid
CAN00414,30-39,4,Master,Berlin,True,No preference
CAN00415,30-39,6,Bachelor,Other Germany,False,Remote
CAN00416,40-49,6,Vocational training,Berlin,False,On-site
CAN00417,30-39,9,Doctorate,Munich,False,Remote
CAN00418,40-49,2,Master,Hamburg,True,On-site
CAN00419,30-39,2,Master,Frankfurt,True,On-site
CAN00420,20-29,1,Bachelor,Outside Germany,False,Hybrid
CAN00421,20-29,0,Bachelor,Other Germany,False,On-site
CAN00422,30-39,2,Vocational training,Other Germany,False,No preference
CAN00423,30-39,2,Bachelor,Other Germany,False,Hybrid
CAN00424,40-49,9,Master,Frankfurt,False,Remote
CAN00425,30-39,11,Vocational training,Frankfurt,True,Hybrid
CAN00426,20-29,2,Vocational training,Other Germany,False,Hybrid
CAN00427,30-39,2,Other,Outside Germany,False,Hybrid
CAN00428,40-49,1,Vocational training,Frankfurt,False,Remote
CAN00429,30-39,2,Vocational training,Berlin,True,Hybrid
CAN00430,30-39,7,Vocational training,Other Germany,False,Hybrid
CAN00431,20-29,2,Bachelor,Munich,True,Remote
CAN00432,40-49,5,Vocational training,Munich,True,No preference
CAN00433,40-49,13,Vocational training,Frankfurt,True,No preference
CAN00434,30-39,4,Vocational training,Cologne,True,Hybrid
CAN00435,20-29,1,Bachelor,Cologne,True,Remote
CAN00436,20-29,6,Bachelor,Other Germany,False,Hybrid
CAN00437,30-39,3,Master,Frankfurt,False,On-site
CAN00438,20-29,6,Vocational training,Outside Germany,False,Remote
CAN00439,30-39,9,Bachelor,Hamburg,True,Hybrid
CAN00440,30-39,4,Master,Other Germany,False,Hybrid
CAN00441,40-49,18,Bachelor,Other Germany,False,Hybrid
CAN00442,30-39,5,Bachelor,Munich,False,Hybrid
CAN00443,50+,13,Vocational training,Berlin,True,No preference
CAN00444,30-39,4,Other,Munich,True,Hybrid
CAN00445,30-39,1,Bachelor,Munich,False,Hybrid
CAN00446,30-39,4,Master,Hamburg,False,Hybrid
CAN00447,20-29,1,Vocational training,Frankfurt,True,Hybrid
CAN00448,30-39,9,Vocational training,Frankfurt,True,Remote
CAN00449,40-49,23,Master,Outside Germany,True,Hybrid
CAN00450,30-39,1,Master,Other Germany,True,Hybrid
CAN00451,20-29,3,Master,Other Germany,True,No preference
CAN00452,20-29,2,Bachelor,Berlin,False,On-site
CAN00453,30-39,8,Vocational training,Frankfurt,False,Hybrid
CAN00454,30-39,9,Vocational training,Frankfurt,True,Hybrid
CAN00455,40-49,6,Vocational training,Frankfurt,False,Hybrid
CAN00456,50+,6,Master,Other Germany,False,Hybrid
CAN00457,30-39,4,Bachelor,Frankfurt,False,Hybrid
CAN00458,40-49,4,Master,Munich,True,Hybrid
CAN00459,50+,10,Bachelor,Other Germany,False,No preference
CAN00460,40-49,1,Vocational training,Frankfurt,True,On-site
CAN00461,40-49,5,Other,Other Germany,True,Remote
CAN00462,40-49,7,Bachelor,Other Germany,True,Remote
CAN00463,20-29,5,Vocational training,Berlin,False,Remote
CAN00464,40-49,7,Vocational training,Frankfurt,False,Hybrid
CAN00465,40-49,2,Vocational training,Berlin,False,Hybrid
