interview_id,application_id,interview_round,scheduled_date,completed_date,interview_format,interviewer_role,score,recommendation,no_show
INT000105,APP000349,1,2024-08-04,2024-08-04,Video,Hiring Manager,3.3,Hold,False
INT000106,APP000353,1,2025-09-06,2025-09-06,Video,Hiring Manager,3.5,Proceed,False
INT000107,APP000354,1,2025-02-05,2025-02-05,On-site,Hiring Manager,2.6,Reject,False
INT000108,APP000368,1,2025-03-14,2025-03-14,On-site,Hiring Manager,3.5,Proceed,False
INT000109,APP000373,1,2024-10-27,2024-10-27,On-site,Hiring Manager,3.9,Proceed,False
INT000110,APP000389,1,2025-03-16,2025-03-16,Video,Hiring Manager,3.3,Hold,False
INT000111,APP000399,1,2024-12-23,2024-12-23,Phone,Hiring Manager,2.5,Reject,False
INT000112,APP000410,1,2025-03-21,2025-03-21,Video,Hiring Manager,3.3,Hold,False
INT000113,APP000424,1,2024-06-25,2024-06-25,Video,Hiring Manager,2.8,Hold,False
INT000114,APP000426,1,2024-11-23,2024-11-23,Video,Hiring Manager,3.4,Proceed,False
INT000115,APP000443,1,2024-10-29,2024-10-29,Video,Hiring Manager,3.5,Proceed,False
INT000116,APP000444,1,2025-04-10,2025-04-10,Video,Hiring Manager,3.7,Proceed,False
INT000117,APP000445,1,2025-11-27,2025-11-27,Video,Hiring Manager,5.0,Proceed,False
INT000118,APP000446,1,2025-03-14,2025-03-14,Video,Hiring Manager,2.8,Hold,False
INT000119,APP000453,1,2025-10-21,2025-10-21,On-site,Hiring Manager,4.3,Proceed,False
INT000120,APP000458,1,2025-10-12,2025-10-12,Video,Hiring Manager,4.2,Proceed,False
INT000121,APP000470,1,2025-06-17,2025-06-17,On-site,Hiring Manager,2.5,Reject,False
INT000122,APP000483,1,2024-12-22,2024-12-22,Phone,Hiring Manager,3.3,Hold,False
INT000123,APP000491,1,2024-12-14,2024-12-14,Video,Hiring Manager,2.7,Reject,False
INT000124,APP000491,2,2024-12-18,2024-12-18,On-site,Panel,2.6,Hold,False
INT000125,APP000493,1,2024-09-03,2024-09-03,Phone,Hiring Manager,2.3,Reject,False
INT000126,APP000494,1,2025-11-28,2025-11-28,Video,Hiring Manager,4.2,Proceed,False
INT000127,APP000497,1,2025-01-11,2025-01-11,Phone,Hiring Manager,4.7,Proceed,False
INT000128,APP000499,1,2025-01-08,2025-01-08,Video,Hiring Manager,2.8,Hold,False
INT000129,APP000502,1,2025-04-09,2025-04-09,On-site,Hiring Manager,3.9,Proceed,False
INT000130,APP000503,1,2025-10-20,2025-10-20,On-site,Hiring Manager,2.5,Reject,False
INT000131,APP000507,1,2024-05-22,2024-05-22,Video,Hiring Manager,4.1,Proceed,False
INT000132,APP000507,2,2024-05-29,2024-05-29,On-site,Panel,4.5,Proceed,False
INT000133,APP000513,1,2024-06-11,2024-06-11,On-site,Hiring Manager,2.2,Reject,False
INT000134,APP000514,1,2025-01-21,2025-01-21,On-site,Hiring Manager,3.4,Proceed,False
INT000135,APP000524,1,2025-09-01,2025-09-01,Video,Hiring Manager,4.2,Proceed,False
INT000136,APP000529,1,2024-03-19,2024-03-19,Video,Hiring Manager,4.2,Proceed,False
INT000137,APP000530,1,2025-05-30,2025-05-30,On-site,Hiring Manager,3.1,Hold,False
INT000138,APP000540,1,2025-06-30,2025-06-30,On-site,Hiring Manager,2.8,Hold,False
INT000139,APP000548,1,2025-02-14,2025-02-14,Phone,Hiring Manager,3.3,Hold,False
INT000140,APP000548,2,2025-02-23,2025-02-23,On-site,Panel,3.3,Proceed,False
INT000141,APP000556,1,2025-04-09,2025-04-09,Video,Hiring Manager,2.9,Hold,False
INT000142,APP000556,2,2025-04-14,2025-04-14,On-site,Panel,3.5,Proceed,False
INT000143,APP000561,1,2024-03-23,2024-03-23,On-site,Hiring Manager,2.2,Reject,False
INT000144,APP000562,1,2025-04-01,2025-04-01,On-site,Hiring Manager,2.9,Hold,False
INT000145,APP000564,1,2024-11-06,2024-11-06,Video,Hiring Manager,3.5,Proceed,False
INT000146,APP000565,1,2024-09-27,2024-09-27,Phone,Hiring Manager,1.5,Reject,False
INT000147,APP000569,1,2025-10-21,2025-10-21,Video,Hiring Manager,3.3,Hold,False
INT000148,APP000571,1,2025-12-30,2025-12-30,Phone,Hiring Manager,3.9,Proceed,False
INT000149,APP000580,1,2025-02-06,2025-02-06,On-site,Hiring Manager,3.2,Hold,False
INT000150,APP000583,1,2025-01-23,2025-01-23,Video,Hiring Manager,4.7,Proceed,False
INT000151,APP000584,1,2024-07-31,2024-07-31,Video,Hiring Manager,3.2,Hold,False
INT000152,APP000585,1,2024-02-28,2024-02-28,Video,Hiring Manager,4.3,Proceed,False
INT000153,APP000587,1,2025-06-18,2025-06-18,On-site,Hiring Manager,4.4,Proceed,False
INT000154,APP000592,1,2025-06-24,2025-06-24,Video,Hiring Manager,3.9,Proceed,False
INT000155,APP000600,1,2025-08-31,2025-08-31,Video,Hiring Manager,3.3,Hold,False
INT000156,APP000603,1,2024-04-16,2024-04-16,Video,Hiring Manager,1.6,Reject,False
INT000157,APP000603,2,2024-04-27,2024-04-27,On-site,Panel,1.0,Hold,False
INT000158,APP000604,1,2024-07-16,2024-07-16,On-site,Hiring Manager,2.9,Hold,False
INT000159,APP000627,1,2024-07-07,2024-07-07,Phone,Hiring Manager,4.3,Proceed,False
INT000160,APP000629,1,2025-05-27,2025-05-27,Video,Hiring Manager,4.1,Proceed,False
INT000161,APP000639,1,2024-09-11,2024-09-11,Video,Hiring Manager,3.9,Proceed,False
INT000162,APP000639,2,2024-09-16,2024-09-16,On-site,Panel,4.0,Proceed,False
INT000163,APP000642,1,2025-06-30,2025-06-30,Video,Hiring Manager,4.0,Proceed,False
INT000164,APP000644,1,2025-04-24,2025-04-24,Video,Hiring Manager,3.4,Proceed,False
INT000165,APP000655,1,2025-09-10,2025-09-10,Video,Hiring Manager,3.0,Hold,False
INT000166,APP000657,1,2024-05-04,2024-05-04,On-site,Hiring Manager,3.9,Proceed,False
INT000167,APP000660,1,2024-05-24,2024-05-24,Video,Hiring Manager,3.7,Proceed,False
INT000168,APP000661,1,2024-12-13,2024-12-13,Video,Hiring Manager,3.7,Proceed,False
INT000169,APP000663,1,2024-03-26,2024-03-26,Video,Hiring Manager,3.0,Hold,False
INT000170,APP000671,1,2025-07-29,2025-07-29,On-site,Hiring Manager,3.8,Proceed,False
INT000171,APP000671,2,2025-08-04,2025-08-04,On-site,Panel,4.2,Proceed,False
INT000172,APP000675,1,2025-08-29,2025-08-29,Video,Hiring Manager,3.3,Hold,False
INT000173,APP000687,1,2025-12-19,2025-12-19,On-site,Hiring Manager,2.6,Reject,False
INT000174,APP000689,1,2024-09-03,2024-09-03,Video,Hiring Manager,3.8,Proceed,False
INT000175,APP000693,1,2025-11-05,2025-11-05,On-site,Hiring Manager,2.7,Reject,False
INT000176,APP000697,1,2025-03-15,2025-03-15,Video,Hiring Manager,4.4,Proceed,False
INT000177,APP000698,1,2025-09-05,2025-09-05,On-site,Hiring Manager,2.5,Reject,False
INT000178,APP000712,1,2025-12-05,2025-12-05,Video,Hiring Manager,2.9,Hold,False
INT000179,APP000712,2,2025-12-14,2025-12-14,On-site,Panel,3.4,Proceed,False
INT000180,APP000716,1,2025-02-06,2025-02-06,On-site,Hiring Manager,4.6,Proceed,False
INT000181,APP000720,1,2025-03-30,2025-03-30,Phone,Hiring Manager,4.3,Proceed,False
INT000182,APP000722,1,2025-05-01,2025-05-01,Video,Hiring Manager,3.8,Proceed,False
INT000183,APP000728,1,2025-02-06,2025-02-06,Video,Hiring Manager,3.4,Proceed,False
INT000184,APP000736,1,2024-09-25,2024-09-25,Phone,Hiring Manager,3.2,Hold,False
INT000185,APP000738,1,2025-09-04,2025-09-04,Video,Hiring Manager,4.7,Proceed,False
INT000186,APP000740,1,2025-06-10,2025-06-10,Video,Hiring Manager,5.0,Proceed,False
INT000187,APP000741,1,2025-05-28,2025-05-28,Video,Hiring Manager,2.6,Reject,False
INT000188,APP000752,1,2024-07-31,2024-07-31,Video,Hiring Manager,2.9,Hold,False
INT000189,APP000753,1,2025-11-14,2025-11-14,Video,Hiring Manager,4.3,Proceed,False
INT000190,APP000758,1,2025-04-13,2025-04-13,Video,Hiring Manager,3.6,Proceed,False
INT000191,APP000761,1,2025-10-24,2025-10-24,Video,Hiring Manager,2.5,Reject,False
INT000192,APP000763,1,2025-05-11,2025-05-11,Video,Hiring Manager,2.1,Reject,False
INT000193,APP000767,1,2025-04-04,2025-04-04,On-site,Hiring Manager,3.1,Hold,False
INT000194,APP000770,1,2025-03-04,2025-03-04,On-site,Hiring Manager,3.8,Proceed,False
INT000195,APP000773,1,2024-03-30,2024-03-30,On-site,Hiring Manager,2.9,Hold,False
INT000196,APP000782,1,2025-03-29,2025-03-29,Video,Hiring Manager,4.3,Proceed,False
INT000197,APP000787,1,2025-10-25,2025-10-25,On-site,Hiring Manager,5.0,Proceed,False
INT000198,APP000789,1,2025-07-04,2025-07-04,Video,Hiring Manager,3.9,Proceed,False
INT000199,APP000789,2,2025-07-09,2025-07-09,On-site,Panel,3.2,Hold,False
INT000200,APP000793,1,2025-04-29,2025-04-29,Video,Hiring Manager,4.5,Proceed,False
INT000201,APP000800,1,2024-10-09,2024-10-09,On-site,Hiring Manager,3.0,Hold,False
INT000202,APP000801,1,2025-07-18,2025-07-18,On-site,Hiring Manager,2.2,Reject,False
INT000203,APP000808,1,2024-05-29,2024-05-29,On-site,Hiring Manager,3.1,Hold,False
INT000204,APP000809,1,2024-05-18,2024-05-18,Video,Hiring Manager,2.9,Hold,False
INT000205,APP000814,1,2025-01-19,2025-01-19,On-site,Hiring Manager,3.5,Proceed,False
INT000206,APP000822,1,2024-09-03,2024-09-03,Phone,Hiring Manager,2.9,Hold,False
INT000207,APP000823,1,2025-02-01,2025-02-01,Video,Hiring Manager,3.5,Proceed,False
INT000208,APP000824,1,2025-05-11,2025-05-11,On-site,Hiring Manager,2.0,Reject,False
INT000209,APP000828,1,2024-12-14,2024-12-14,Video,Hiring Manager,4.7,Proceed,False
INT000210,APP000831,1,2024-05-13,2024-05-13,On-site,Hiring Manager,3.3,Hold,False
INT000211,APP000831,2,2024-05-19,2024-05-19,On-site,Panel,2.9,Hold,False
INT000212,APP000834,1,2025-04-15,2025-04-15,Video,Hiring Manager,2.9,Hold,False
INT000213,APP000841,1,2024-10-15,2024-10-15,Video,Hiring Manager,3.3,Hold,False
INT000214,APP000846,1,2025-05-23,2025-05-23,Video,Hiring Manager,4.2,Proceed,False
INT000215,APP000851,1,2024-10-28,2024-10-28,Video,Hiring Manager,2.8,Hold,False
INT000216,APP000853,1,2025-05-20,2025-05-20,Video,Hiring Manager,4.1,Proceed,False
INT000217,APP000865,1,2024-12-22,2024-12-22,Video,Hiring Manager,3.8,Proceed,False
INT000218,APP000867,1,2024-03-12,2024-03-12,Video,Hiring Manager,3.9,Proceed,False
INT000219,APP000869,1,2025-02-01,2025-02-01,Video,Hiring Manager,2.9,Hold,False
INT000220,APP000870,1,2024-05-18,2024-05-18,Video,Hiring Manager,2.7,Reject,False
INT000221,APP000873,1,2024-09-28,2024-09-28,Video,Hiring Manager,2.6,Reject,False
INT000222,APP000873,2,2024-10-06,2024-10-06,On-site,Panel,2.8,Hold,False
INT000223,APP000885,1,2024-11-01,2024-11-01,Video,Hiring Manager,3.2,Hold,False
INT000224,APP000887,1,2025-08-21,2025-08-21,Phone,Hiring Manager,3.9,Proceed,False
INT000225,APP000891,1,2025-12-03,2025-12-03,On-site,Hiring Manager,1.8,Reject,False
INT000226,APP000894,1,2025-10-15,2025-10-15,On-site,Hiring Manager,3.3,Hold,False
INT000227,APP000897,1,2024-02-16,2024-02-16,On-site,Hiring Manager,3.0,Hold,False
INT000228,APP000899,1,2025-01-30,2025-01-30,Video,Hiring Manager,3.3,Hold,False
INT000229,APP000904,1,2025-10-07,2025-10-07,Video,Hiring Manager,,Proceed,False
INT000230,APP000905,1,2024-08-25,2024-08-25,On-site,Hiring Manager,1.9,Reject,False
INT000231,APP000905,2,2024-09-02,2024-09-02,On-site,Panel,2.7,Hold,False
INT000232,APP000913,1,2025-04-26,2025-04-26,On-site,Hiring Manager,2.7,Reject,False
INT000233,APP000916,1,2024-05-25,2024-05-25,Video,Hiring Manager,4.4,Proceed,False
INT000234,APP000918,1,2025-02-17,2025-02-17,Video,Hiring Manager,3.9,Proceed,False
INT000235,APP000919,1,2024-03-30,2024-03-30,Video,Hiring Manager,3.7,Proceed,False
INT000236,APP000922,1,2025-11-19,2025-11-19,On-site,Hiring Manager,2.6,Reject,False
INT000237,APP000923,1,2025-04-04,2025-04-04,Video,Hiring Manager,3.2,Hold,False
INT000238,APP000925,1,2025-05-03,2025-05-03,Video,Hiring Manager,,Proceed,False
INT000239,APP000930,1,2025-04-15,2025-04-15,Video,Hiring Manager,3.5,Proceed,False
INT000240,APP000931,1,2025-06-14,2025-06-14,On-site,Hiring Manager,5.0,Proceed,False
INT000241,APP000934,1,2025-01-22,2025-01-22,Video,Hiring Manager,3.0,Hold,False
INT000242,APP000941,1,2024-03-14,2024-03-14,Phone,Hiring Manager,4.9,Proceed,False
INT000243,APP000946,1,2025-12-22,2025-12-22,Video,Hiring Manager,1.8,Reject,False
INT000244,APP000954,1,2024-08-29,2024-08-29,On-site,Hiring Manager,2.8,Hold,False
INT000245,APP000954,2,2024-09-03,2024-09-03,On-site,Panel,3.2,Hold,False
INT000246,APP000959,1,2025-08-15,2025-08-15,Video,Hiring Manager,5.0,Proceed,False
INT000247,APP000960,1,2025-08-16,2025-08-16,On-site,Hiring Manager,,Proceed,False
INT000248,APP000966,1,2024-04-27,2024-04-27,Video,Hiring Manager,2.3,Reject,False
INT000249,APP000967,1,2025-01-17,2025-01-17,Phone,Hiring Manager,3.7,Proceed,False
INT000250,APP000973,1,2025-10-13,2025-10-13,Video,Hiring Manager,3.6,Proceed,False
INT000251,APP000977,1,2025-03-24,2025-03-24,Phone,Hiring Manager,3.9,Proceed,False
INT000252,APP000981,1,2025-09-08,2025-09-08,Phone,Hiring Manager,4.1,Proceed,False
INT000253,APP000985,1,2025-02-06,2025-02-06,Phone,Hiring Manager,3.0,Hold,False
INT000254,APP000988,1,2025-03-03,2025-03-03,On-site,Hiring Manager,2.0,Reject,False
INT000255,APP000991,1,2025-06-30,2025-06-30,Video,Hiring Manager,3.1,Hold,False
INT000256,APP000992,1,2024-09-11,2024-09-11,On-site,Hiring Manager,4.1,Proceed,False
INT000257,APP000998,1,2025-09-18,2025-09-18,Video,Hiring Manager,2.1,Reject,False
INT000258,APP000998,2,2025-09-29,2025-09-29,On-site,Panel,3.0,Hold,False
INT000259,APP001000,1,2024-12-03,2024-12-03,Phone,Hiring Manager,3.2,Hold,False
INT000260,APP001000,2,2024-12-11,2024-12-11,On-site,Panel,4.0,Proceed,False
INT000261,APP001003,1,2024-12-03,2024-12-03,Phone,Hiring Manager,4.3,Proceed,False
INT000262,APP001003,2,2024-12-09,2024-12-09,On-site,Panel,5.0,Proceed,False
INT000263,APP001004,1,2024-12-14,2024-12-14,Video,Hiring Manager,,Hold,False
INT000264,APP001011,1,2025-12-09,2025-12-09,Video,Hiring Manager,3.4,Proceed,False
INT000265,APP001019,1,2025-08-12,2025-08-12,On-site,Hiring Manager,2.2,Reject,False
INT000266,APP001025,1,2024-11-20,2024-11-20,On-site,Hiring Manager,3.8,Proceed,False
INT000267,APP001032,1,2025-04-28,2025-04-28,Video,Hiring Manager,4.1,Proceed,False
INT000268,APP001034,1,2024-10-28,2024-10-28,Phone,Hiring Manager,2.8,Hold,False
INT000269,APP001034,2,2024-11-07,2024-11-07,On-site,Panel,2.6,Hold,False
INT000270,APP001041,1,2025-09-15,2025-09-15,Video,Hiring Manager,3.2,Hold,False
INT000271,APP001050,1,2025-02-27,2025-02-27,On-site,Hiring Manager,3.5,Proceed,False
INT000272,APP001052,1,2024-11-25,2024-11-25,On-site,Hiring Manager,3.0,Hold,False
INT000273,APP001053,1,2025-01-22,2025-01-22,Video,Hiring Manager,2.6,Reject,False
INT000274,APP001059,1,2024-12-23,2024-12-23,On-site,Hiring Manager,2.7,Reject,False
INT000275,APP001062,1,2025-11-11,2025-11-11,Video,Hiring Manager,2.6,Reject,False
INT000276,APP001062,2,2025-11-22,2025-11-22,On-site,Panel,2.6,Hold,False
INT000277,APP001063,1,2025-02-18,2025-02-18,Phone,Hiring Manager,3.7,Proceed,False
INT000278,APP001066,1,2025-01-31,2025-01-31,Video,Hiring Manager,3.2,Hold,False
INT000279,APP001066,2,2025-02-07,2025-02-07,On-site,Panel,3.9,Proceed,False
INT000280,APP001075,1,2025-10-13,2025-10-13,Video,Hiring Manager,2.3,Reject,False
INT000281,APP001082,1,2024-03-04,2024-03-04,Video,Hiring Manager,3.0,Hold,False
INT000282,APP001085,1,2024-08-31,2024-08-31,Phone,Hiring Manager,3.1,Hold,False
INT000283,APP001086,1,2024-05-17,2024-05-17,Video,Hiring Manager,3.0,Hold,False
INT000284,APP001093,1,2025-03-21,2025-03-21,Video,Hiring Manager,2.6,Reject,False
INT000285,APP001095,1,2024-02-15,2024-02-15,On-site,Hiring Manager,3.4,Proceed,False
INT000286,APP001099,1,2025-11-02,2025-11-02,Video,Hiring Manager,3.5,Proceed,False
INT000287,APP001109,1,2025-09-04,2025-09-04,Video,Hiring Manager,2.5,Reject,False
INT000288,APP001111,1,2024-12-30,2024-12-30,On-site,Hiring Manager,4.0,Proceed,False
INT000289,APP001113,1,2024-08-01,2024-08-01,Video,Hiring Manager,3.1,Hold,False
INT000290,APP001114,1,2024-05-11,2024-05-11,On-site,Hiring Manager,2.8,Hold,False
INT000291,APP001114,2,2024-05-20,2024-05-20,Video,Panel,3.4,Proceed,False
INT000292,APP001120,1,2024-09-02,2024-09-02,On-site,Hiring Manager,3.5,Proceed,False
