offer_id,application_id,offer_date,base_salary_eur,bonus_pct,offer_status,response_date,decline_reason,planned_start_date
OFF000136,APP002803,2024-06-12,86000,5,Declined,2024-06-14,Location,
OFF000138,APP002811,2025-06-05,81000,12,Accepted,2025-06-13,,2025-08-01
OFF000142,APP002848,2025-10-28,86000,10,Accepted,2025-10-31,,2025-12-04
OFF000143,APP002851,2025-06-28,96000,8,Declined,2025-07-03,Accepted another offer,
OFF000144,APP002858,2024-12-22,74500,12,Declined,2024-12-23,Compensation,
OFF000145,APP002870,2025-05-13,91000,0,Accepted,2025-05-06,,2025-07-19
OFF000146,APP002877,2024-09-15,64500,12,Accepted,2024-09-17,,2024-11-19
OFF000148,APP002934,2024-08-01,97000,5,Accepted,2024-08-08,,2024-09-04
OFF000149,APP002939,2024-08-12,81000,5,Accepted,2024-08-21,,2024-10-24
OFF000151,APP002977,2024-03-06,71000,12,Accepted,2024-03-01,,2024-04-14
OFF000152,APP003043,2025-05-18,104500,5,Accepted,2025-05-22,,2025-07-21
OFF000154,APP003074,2024-05-29,61500,0,Accepted,2024-06-05,,2024-07-18
OFF000156,APP003230,2025-03-14,83000,10,Accepted,2025-03-20,,2025-04-21
OFF000157,APP003237,2024-10-22,94000,12,Accepted,2024-10-29,,2024-11-26
OFF000158,APP003242,2024-02-12,62500,5,Declined,2024-02-18,Location,
OFF000160,APP003257,2024-08-19,82500,12,Declined,2024-08-20,Compensation,
OFF000161,APP003265,2025-03-02,90000,8,Accepted,2025-03-08,,2025-04-26
OFF000164,APP003278,2025-02-11,88000,10,Accepted,2025-02-13,,2025-03-18
OFF000165,APP003308,2025-04-14,90500,5,Accepted,2025-04-15,,2025-05-16
OFF000167,APP003344,2025-06-12,88500,8,Declined,2025-06-15,Accepted another offer,
OFF000168,APP003359,2024-12-08,92000,8,Accepted,2024-12-15,,2025-01-19
OFF000169,APP003366,2024-12-30,58000,10,Accepted,2024-12-31,,2025-03-04
OFF000170,APP003393,2025-05-19,92000,8,Accepted,2025-05-21,,2025-07-13
OFF000171,APP003404,2024-12-01,123500,5,Accepted,2024-12-03,,2025-02-01
OFF000174,APP003456,2025-08-06,77000,8,Declined,2025-08-11,Compensation,
OFF000175,APP003457,2025-08-02,103000,0,Accepted,2025-08-11,,2025-09-13
OFF000176,APP003471,2025-11-27,87000,0,Accepted,2025-12-03,,2026-01-04
OFF000177,APP003536,2025-11-08,107000,12,Accepted,2025-11-17,,2026-01-10
OFF000179,APP003614,2025-05-09,69500,0,Accepted,2025-05-15,,2025-05-07
OFF000181,APP003676,2024-10-22,87500,12,Accepted,2024-10-26,,2024-11-16
OFF000182,APP003678,2024-09-27,79500,0,Accepted,2024-10-02,,2024-11-29
OFF000183,APP003704,2025-12-09,102000,10,Accepted,2025-12-11,,2026-01-23
OFF000184,APP003718,2025-04-28,81000,10,Accepted,2025-04-30,,2025-05-26
OFF000185,APP003720,2024-02-03,68500,8,Accepted,2024-02-06,,2024-03-20
OFF000186,APP003746,2024-09-02,83000,5,Accepted,2024-09-08,,2024-08-12
OFF000187,APP003749,2024-10-24,76500,5,Accepted,2024-10-30,,2024-12-05
OFF000188,APP003769,2024-06-21,82500,5,Accepted,2024-06-15,,2024-08-02
OFF000190,APP003794,2024-04-21,88000,0,Accepted,2024-04-23,,2024-05-26
OFF000191,APP003831,2025-06-12,88000,10,Accepted,2025-06-20,,2025-07-17
OFF000192,APP003847,2025-01-18,87500,12,Declined,2025-01-23,Compensation,
OFF000193,APP003915,2024-06-22,59000,0,Accepted,2024-07-01,,2024-08-28
OFF000196,APP003989,2024-06-09,84500,8,Accepted,2024-05-29,,2024-07-30
OFF000198,APP004037,2024-04-20,69000,10,Declined,2024-04-26,Compensation,
OFF000199,APP004056,2025-08-27,85500,8,Accepted,2025-08-28,,2025-09-30
OFF000200,APP004067,2025-10-18,88500,12,Declined,2025-10-27,Accepted another offer,
OFF000202,APP004107,2025-08-25,80000,8,Accepted,2025-08-28,,2025-09-22
OFF000203,APP004108,2025-11-26,54500,12,Accepted,2025-12-03,,2026-01-24
OFF000206,APP004303,2024-05-02,117000,12,Declined,2024-05-10,Personal reasons,
OFF000207,APP004310,2025-12-18,107000,10,Accepted,2025-12-21,,2026-02-19
OFF000211,APP004352,2024-06-28,99000,12,Accepted,2024-07-01,,2024-07-23
OFF000214,APP004444,2025-04-07,67000,10,Accepted,2025-04-16,,2025-05-27
OFF000216,APP004504,2024-03-24,73500,12,Accepted,2024-03-29,,2024-04-19
OFF000218,APP004522,2024-12-26,78000,5,Accepted,2025-01-01,,2025-02-06
OFF000219,APP004567,2024-10-18,84000,5,Accepted,2024-10-22,,2024-11-17
OFF000220,APP004585,2025-12-20,63000,12,Accepted,2025-12-24,,2026-02-25
OFF000222,APP004638,2024-04-07,106000,12,Accepted,2024-04-09,,2024-06-11
OFF000223,APP004666,2024-12-02,89000,10,Accepted,2024-12-06,,2025-01-30
OFF000224,APP004667,2025-02-16,88500,0,Accepted,2025-02-22,,2025-04-28
OFF000225,APP004682,2024-03-13,61000,12,Accepted,2024-03-15,,2024-04-06
OFF000227,APP004720,2025-08-16,73000,12,Accepted,2025-08-18,,2025-10-04
OFF000228,APP004736,2025-10-03,58500,12,Accepted,2025-09-28,,2025-11-01
OFF000229,APP004746,2024-02-19,71000,0,Accepted,2024-02-22,,2024-03-26
OFF000230,APP004773,2024-10-19,74000,0,Accepted,2024-10-10,,2024-12-15
OFF000231,APP004798,2024-01-31,76000,0,Accepted,2024-02-02,,2024-03-22
OFF000233,APP004812,2024-09-20,85000,10,Accepted,2024-09-21,,2024-11-21
OFF000234,APP004844,2025-09-19,83000,5,Declined,2025-09-24,Location,
OFF000235,APP004874,2025-02-17,89500,8,Accepted,2025-02-20,,2025-04-22
OFF000237,APP005007,2025-09-10,63500,0,Accepted,2025-09-19,,2025-10-30
OFF000239,APP005068,2025-04-17,82000,10,Accepted,2025-04-23,,2025-06-25
OFF000240,APP005113,2025-08-28,91000,10,Accepted,2025-09-04,,2025-09-30
OFF000241,APP005130,2025-08-29,85000,8,Accepted,2025-08-31,,2025-10-25
OFF000242,APP005134,2025-09-06,52000,5,Declined,2025-09-08,Accepted another offer,
OFF000243,APP005144,2025-01-25,53000,8,Accepted,2025-02-01,,2025-03-15
OFF000245,APP005148,2024-09-10,56000,10,Accepted,2024-09-17,,2024-11-21
OFF000246,APP005151,2024-10-29,66500,5,Accepted,2024-11-04,,2024-11-27
OFF000248,APP005211,2024-10-06,87000,0,Declined,2024-10-13,Compensation,
OFF000250,APP005323,2025-09-16,57000,8,Accepted,2025-09-23,,2025-11-14
OFF000251,APP005360,2025-03-07,84000,0,Accepted,2025-03-08,,2025-04-28
OFF000252,APP005367,2024-03-09,62000,5,Accepted,2024-03-15,,2024-04-05
OFF000253,APP005384,2025-05-10,58500,5,Declined,2025-05-13,Location,
OFF000255,APP005407,2025-12-26,114000,0,Accepted,2025-12-31,,2026-01-23
OFF000256,APP005408,2024-10-19,74500,0,Accepted,2024-10-20,,2024-12-10
OFF000261,APP005526,2024-08-01,78000,8,Accepted,2024-08-03,,2024-09-04
OFF000262,APP005538,2024-05-18,83500,10,Accepted,2024-05-20,,2024-06-27
OFF000265,APP005578,2024-11-01,62500,8,Accepted,2024-11-10,,2024-12-16
OFF000268,APP005603,2025-04-22,81500,0,Accepted,2025-04-29,,2025-05-28
OFF000269,APP005613,2025-09-28,97500,5,Accepted,2025-09-29,,2025-11-10
OFF000271,APP005645,2025-09-06,50000,0,Accepted,2025-09-15,,2025-10-06
OFF000272,APP005691,2025-08-11,115000,5,Declined,2025-08-12,Role scope,
OFF000273,APP005700,2024-03-03,105000,5,Accepted,2024-03-05,,2024-04-11
OFF000274,APP005716,2025-05-14,81500,8,Accepted,2025-05-15,,2025-06-10
OFF000276,APP005749,2025-10-19,89500,10,Accepted,2025-10-22,,2025-10-08
OFF000278,APP005767,2025-06-30,65000,10,Accepted,2025-07-09,,2025-09-02
OFF000282,APP005913,2025-04-30,94000,5,Accepted,2025-05-05,,2025-07-09
OFF000284,APP005945,2024-05-17,91000,12,Accepted,2024-05-18,,2024-07-02
OFF000285,APP005955,2024-04-15,72000,10,Accepted,2024-04-22,,2024-06-02
OFF000289,APP006040,2025-08-02,91000,10,Accepted,2025-08-10,,2025-09-30
OFF000290,APP006050,2024-03-23,66000,12,Accepted,2024-03-28,,2024-05-08
OFF000291,APP006058,2024-07-13,82500,10,Accepted,2024-07-14,,2024-08-25
OFF000292,APP006077,2025-11-27,102000,5,Accepted,2025-11-28,,2026-01-24
OFF000293,APP006079,2024-08-04,51000,8,Accepted,2024-08-05,,2024-10-03
OFF000294,APP006087,2025-06-13,110000,0,Accepted,2025-06-17,,2025-07-30
OFF000297,APP006120,2025-06-26,72500,12,Accepted,2025-07-01,,2025-08-04
OFF000298,APP006145,2025-07-29,65000,12,Accepted,2025-08-05,,2025-09-05
OFF000299,APP006183,2024-11-02,69000,0,Declined,2024-11-04,Accepted another offer,
OFF000300,APP006270,2025-03-15,101000,12,Accepted,2025-03-11,,2025-04-15
OFF000301,APP006287,2024-09-13,84000,8,Accepted,2024-09-21,,2024-11-06
OFF000302,APP006293,2025-06-30,75000,5,Accepted,2025-07-07,,2025-08-24
OFF000303,APP006365,2025-02-26,67500,12,Accepted,2025-03-02,,2025-05-01
OFF000304,APP006391,2024-09-02,64000,5,Declined,2024-09-09,Role scope,
OFF000306,APP006425,2025-03-02,69000,12,Accepted,2025-03-08,,2025-05-01
OFF000309,APP006461,2025-12-03,74000,5,Accepted,2025-12-05,,2026-01-24
OFF000310,APP006485,2024-12-08,59500,0,Accepted,2024-12-14,,2025-02-03
OFF000311,APP006533,2025-08-03,70000,0,Accepted,2025-08-12,,2025-09-24
OFF000313,APP006564,2025-02-20,69500,0,Accepted,2025-02-26,,2025-04-05
OFF000314,APP006590,2025-12-08,63500,12,Accepted,2025-12-13,,2026-02-10
OFF000315,APP006677,2024-05-10,81000,0,Accepted,2024-05-18,,2024-04-22
OFF000316,APP006690,2024-10-26,77000,10,Declined,2024-11-04,Compensation,
OFF000317,APP006699,2025-10-07,85000,5,Accepted,2025-09-30,,2025-12-12
OFF000319,APP006769,2025-01-28,65000,8,Accepted,2025-02-02,,2025-03-19
OFF000320,APP006793,2024-04-13,73500,10,Accepted,2024-04-16,,2024-03-24
OFF000321,APP006815,2024-12-16,84000,5,Declined,2024-12-17,Compensation,
OFF000323,APP006840,2025-10-23,86000,8,Accepted,2025-10-24,,2025-12-07
OFF000325,APP006857,2025-10-17,46000,10,Accepted,2025-10-26,,2025-12-28
OFF000326,APP006869,2024-05-19,71000,0,Accepted,2024-05-20,,2024-06-18
OFF000327,APP006899,2025-10-05,70500,0,Accepted,2025-10-14,,2025-11-17
OFF000328,APP006960,2024-08-08,60000,0,Declined,2024-08-17,Accepted another offer,
OFF000330,APP006963,2025-08-27,75000,8,Accepted,2025-09-03,,2025-10-06
OFF000331,APP006965,2025-02-18,86500,10,Accepted,2025-02-21,,2025-04-06
OFF000332,APP007039,2024-04-20,89000,8,Accepted,2024-04-28,,2024-06-25
OFF000334,APP007057,2025-10-04,80500,0,Accepted,2025-10-09,,2025-12-03
OFF000335,APP007065,2025-09-21,90000,8,Accepted,2025-09-27,,2025-11-10
OFF000336,APP007101,2025-05-14,86500,5,Accepted,2025-05-16,,2025-06-26
OFF000337,APP007104,2025-05-08,49000,5,Accepted,2025-05-12,,2025-07-11
OFF000339,APP007137,2024-09-15,69500,8,Accepted,2024-09-19,,2024-10-24
OFF000340,APP007145,2025-09-01,56000,10,Accepted,2025-09-10,,2025-11-07
OFF000341,APP007162,2025-02-14,59500,0,Declined,2025-02-11,Location,
OFF000342,APP007170,2025-04-13,86000,10,Accepted,2025-04-15,,2025-04-11
OFF000343,APP007186,2025-07-02,95500,5,Accepted,2025-07-11,,2025-08-07
OFF000345,APP007245,2024-09-11,60000,10,Declined,2024-09-16,Compensation,
OFF000346,APP007371,2024-05-29,96500,8,Declined,2024-05-31,Compensation,
OFF000347,APP007379,2025-10-27,77500,10,Accepted,2025-10-31,,2025-12-06
OFF000349,APP007383,2024-03-20,71500,0,Accepted,2024-03-25,,2024-04-27
OFF000350,APP007424,2024-11-23,63000,5,Declined,2024-11-27,Role scope,
OFF000351,APP007462,2025-04-24,61000,10,Accepted,2025-05-02,,2025-06-12
OFF000352,APP007475,2025-12-02,67000,10,Accepted,2025-12-05,,2026-01-02
OFF000353,APP007484,2024-03-23,68000,8,Accepted,2024-03-27,,2024-05-29
OFF000355,APP007564,2025-10-04,102000,8,Declined,2025-10-07,Role scope,
OFF000356,APP007604,2025-06-21,63000,5,Accepted,2025-06-24,,2025-07-23
OFF000358,APP007622,2024-06-22,68500,10,Accepted,2024-06-30,,2024-08-02
OFF000359,APP007645,2025-09-11,77500,5,Accepted,2025-09-14,,2025-11-11
OFF000360,APP007668,2025-11-23,109000,0,Accepted,2025-12-01,,2026-01-25
OFF000362,APP007715,2024-04-08,53500,12,Declined,2024-03-28,Personal reasons,
OFF000363,APP007721,2025-07-12,65500,0,Accepted,2025-07-18,,2025-08-16
OFF000364,APP007725,2025-09-15,73000,5,Accepted,2025-09-20,,2025-11-14
OFF000366,APP007749,2025-02-09,58000,0,Accepted,2025-02-11,,2025-04-01
OFF000369,APP007794,2025-08-04,94500,5,Declined,2025-08-10,Compensation,
OFF000370,APP007839,2025-11-02,93500,5,Accepted,2025-11-09,,2025-12-01
OFF000371,APP007840,2025-03-09,78000,10,Declined,2025-03-15,Location,
OFF000373,APP007849,2025-12-29,68500,5,Accepted,2025-12-30,,2026-01-31
OFF000374,APP007853,2025-04-10,81000,10,Declined,2025-04-19,Compensation,
OFF000375,APP007865,2025-07-06,65000,12,Declined,2025-07-15,Role scope,
OFF000377,APP007933,2025-04-01,106000,8,Accepted,2025-04-07,,2025-05-06
OFF000378,APP007957,2024-10-17,110500,12,Declined,2024-10-20,Compensation,
OFF000379,APP007975,2025-10-28,102000,0,Accepted,2025-11-03,,2025-12-09
OFF000382,APP008025,2024-08-18,68000,5,Accepted,2024-08-25,,2024-09-17
OFF000383,APP008027,2025-04-27,70500,5,Accepted,2025-05-06,,2025-06-07
OFF000384,APP008031,2024-07-30,76000,8,Declined,2024-08-04,Compensation,
OFF000385,APP008050,2025-03-01,56000,5,Accepted,2025-03-06,,2025-04-27
OFF000386,APP008051,2024-12-07,77000,0,Accepted,2024-12-13,,2025-01-08
OFF000389,APP008093,2024-03-03,68000,0,Accepted,2024-03-06,,2024-05-04
OFF000390,APP008095,2025-09-20,74000,8,Accepted,2025-09-26,,2025-11-14
OFF000392,APP008119,2024-06-22,72500,5,Accepted,2024-06-30,,2024-08-04
OFF000393,APP008127,2025-10-16,74000,0,Accepted,2025-10-23,,2025-11-24
OFF000394,APP008133,2025-05-31,65000,8,Accepted,2025-06-01,,2025-07-24
OFF000398,APP008234,2024-05-04,60500,12,Accepted,2024-05-05,,2024-06-24
OFF000399,APP008279,2024-09-23,66000,0,Accepted,2024-09-28,,2024-10-28
OFF000400,APP008292,2025-04-28,57000,0,Accepted,2025-05-07,,2025-07-08
OFF000401,APP008309,2025-05-15,85000,10,Accepted,2025-05-20,,2025-07-07
OFF000403,APP008341,2025-05-08,79000,10,Accepted,2025-05-14,,2025-06-29
OFF000404,APP008372,2025-04-14,83000,0,Accepted,2025-04-22,,2025-05-29
OFF000405,APP008416,2024-07-21,89000,8,Accepted,2024-07-30,,2024-10-02
OFF000406,APP008433,2026-01-04,72000,8,Accepted,2026-01-11,,2026-02-26
OFF000407,APP008448,2024-05-27,114000,5,Declined,2024-06-05,Compensation,
OFF000408,APP008449,2024-06-30,84500,8,Accepted,2024-07-01,,2024-07-29
OFF000412,APP008529,2024-12-08,79500,5,Accepted,2024-12-14,,2025-01-30
OFF000413,APP008549,2024-10-19,71500,5,Declined,2024-10-26,Accepted another offer,
OFF000414,APP008589,2025-11-17,78000,12,Accepted,2025-11-09,,2026-01-11
OFF000415,APP008629,2025-10-13,84000,0,Accepted,2025-10-17,,2025-12-02
OFF000416,APP008636,2024-12-26,86000,8,Accepted,2024-12-31,,2025-03-04
OFF000417,APP008639,2024-09-24,80000,12,Accepted,2024-09-28,,2024-11-16
OFF000418,APP008667,2024-11-25,70000,8,Accepted,2024-12-01,,2025-01-11
OFF000419,APP008672,2025-05-05,81500,10,Accepted,2025-05-07,,2025-06-17
OFF000420,APP008675,2024-08-19,78500,5,Declined,2024-08-21,Compensation,
OFF000421,APP008677,2024-11-11,57500,10,Accepted,2024-11-14,,2025-01-15
OFF000422,APP008696,2025-03-02,107000,8,Accepted,2025-03-08,,2025-03-30
OFF000423,APP008719,2024-07-06,99000,0,Accepted,2024-07-12,,2024-08-06
OFF000426,APP008756,2025-07-27,70000,0,Accepted,2025-07-28,,2025-09-19
OFF000427,APP008855,2024-04-30,109000,0,Declined,2024-05-07,Role scope,
OFF000428,APP008857,2025-09-21,86000,8,Declined,2025-09-28,Role scope,
OFF000429,APP008891,2025-07-18,100000,10,Accepted,2025-07-20,,2025-09-18
OFF000430,APP008895,2024-11-13,83500,8,Accepted,2024-11-21,,2025-01-10
OFF000431,APP008901,2025-11-11,71000,10,Accepted,2025-11-18,,2025-12-22
OFF000433,APP008968,2025-06-03,75500,10,Accepted,2025-06-08,,2025-07-20
OFF000434,APP008976,2025-03-15,88000,12,Accepted,2025-03-17,,2025-04-22
OFF000435,APP009011,2025-12-03,82500,12,Accepted,2025-12-07,,2026-01-24
OFF000436,APP009063,2025-10-28,80500,0,Accepted,2025-11-01,,2025-12-13
OFF000438,APP009088,2024-10-01,85500,8,Accepted,2024-10-06,,2024-10-31
OFF000440,APP009179,2025-02-17,88000,12,Accepted,2025-02-25,,2025-04-02
OFF000441,APP009238,2024-09-11,91000,5,Accepted,2024-09-19,,2024-10-16
OFF000442,APP009248,2024-11-04,77000,12,Accepted,2024-11-07,,2024-12-12
OFF000444,APP009292,2025-08-19,77000,5,Declined,2025-08-26,Compensation,
OFF000445,APP009311,2025-03-30,85000,0,Accepted,2025-04-06,,2025-06-01
OFF000447,APP009347,2024-05-12,89000,8,Declined,2024-05-15,Accepted another offer,
OFF000448,APP009353,2024-10-18,64000,5,Accepted,2024-10-25,,2024-12-04
OFF000450,APP009462,2025-03-09,109000,10,Accepted,2025-03-11,,2025-04-21
OFF000453,APP009522,2025-09-14,68000,8,Accepted,2025-09-15,,2025-10-14
OFF000455,APP009585,2024-12-15,87000,8,Accepted,2024-12-17,,2025-02-09
OFF000456,APP009613,2025-02-08,66500,12,Accepted,2025-02-10,,2025-04-12
OFF000457,APP009636,2024-02-28,65000,0,Accepted,2024-03-03,,2024-04-15
OFF000458,APP009649,2025-08-01,81000,5,Accepted,2025-08-06,,2025-08-30
OFF000459,APP009675,2025-07-02,86000,0,Accepted,2025-07-10,,2025-08-09
OFF000460,APP009682,2024-09-12,95500,10,Declined,2024-09-13,Location,
OFF000461,APP009687,2025-02-11,105000,10,Declined,2025-02-16,Location,
OFF000462,APP009693,2025-05-06,69500,5,Accepted,2025-05-10,,2025-06-09
OFF000463,APP009699,2025-07-28,94000,12,Declined,2025-08-06,Compensation,
OFF000464,APP009701,2025-08-04,55000,8,Accepted,2025-08-12,,2025-09-15
OFF000466,APP009724,2025-03-13,83000,5,Accepted,2025-03-18,,2025-05-09
OFF000467,APP009729,2024-10-22,65000,10,Accepted,2024-10-30,,2024-12-11
OFF000468,APP009739,2025-12-29,87000,10,Accepted,2026-01-03,,2026-02-19
OFF000470,APP009779,2025-03-11,64500,5,Accepted,2025-02-28,,2025-04-11
OFF000471,APP009783,2024-11-28,78000,10,Declined,2024-11-30,Role scope,
OFF000472,APP009851,2025-09-28,85000,5,Accepted,2025-09-29,,2025-11-25
